"TIME","GEO","UNIT","ISCEDF13","ISCED11","SEX","Value","Flag and Footnotes"
"2013","Austria","Number","Total","Doctoral or equivalent level","Total","25,657",""
"2013","Portugal","Number","Total","Bachelor's or equivalent level","Total","224,260",""
"2013","Portugal","Number","Total","Bachelor's or equivalent level - academic","Total",":","d"
"2013","Portugal","Number","Total","Bachelor's or equivalent level - professional","Total",":","d"
"2013","Portugal","Number","Total","Master's or equivalent level","Total","117,211",""
"2013","Portugal","Number","Total","Master's or equivalent level - academic","Total",":","d"
"2013","Portugal","Number","Total","Master's or equivalent level - professional","Total",":","d"
"2013","Portugal","Number","Total","Doctoral or equivalent level","Total","19,347",""
"2013","Belgium","Number","Total","Bachelor's or equivalent level","Total","364,202",""
"2013","Belgium","Number","Total","Bachelor's or equivalent level - academic","Total","138,302",""
"2013","Belgium","Number","Total","Bachelor's or equivalent level - professional","Total","225,900",""
"2013","Belgium","Number","Total","Master's or equivalent level","Total","85,553",""
"2013","Belgium","Number","Total","Master's or equivalent level - academic","Total","85,553",""
"2013","Belgium","Number","Total","Master's or equivalent level - professional","Total",":","z"
"2013","Belgium","Number","Total","Doctoral or equivalent level","Total","14,610",""
"2013","Czechia","Number","Total","Bachelor's or equivalent level","Total","267,731",""
"2013","Czechia","Number","Total","Bachelor's or equivalent level - academic","Total","238,751",""
"2013","Czechia","Number","Total","Bachelor's or equivalent level - professional","Total","28,980",""
"2013","Czechia","Number","Total","Master's or equivalent level","Total","133,524",""
"2013","Czechia","Number","Total","Master's or equivalent level - academic","Total","133,524",""
